Subject	Grade	Domain Name	Domain Abbreviation	Domain Name Full	New Cluster Name	Cluster Abbreviation	Cluster Name Full	Cluster (old)	Standard Abbreviation	State Standard	Notes
Math	4	Number &amp; Operations in Base Ten	NBT	(NBT) Number &amp; Operations in Base Ten	Multi-digit arithmetic	4.NBT.B	(4.NBT.B) Multi-digit arithmetic	Use Place Value Understanding And Properties Of Operations To Perform Multi-Digit Arithmetic.	4.NBT.B.5	"Multiply a whole number of up to four digits by a one-digit whole number, and multiply two two-digit numbers, using strategies based on place value and the properties of operations. Illustrate and explain the calculation by using equations, rectangular arrays, and/or area models."	
Math	4	Number &amp; Operations in Base Ten	NBT	(NBT) Number &amp; Operations in Base Ten	Multi-digit arithmetic	4.NBT.B	(4.NBT.B) Multi-digit arithmetic	Use Place Value Understanding And Properties Of Operations To Perform Multi-Digit Arithmetic.	4.NBT.B.6	"Find whole-number quotients and remainders with up to four-digit dividends and one-digit divisors, using strategies based on place value, the properties of operations, and/or the relationship between multiplication and division. Illustrate and explain the calculation by using equations, rectangular arrays, and/or area models."	
Math	4	Number &amp; Operations‰ÛÓFractions	NF	(NF) Number &amp; Operations‰ÛÓFractions	Fraction equivalence and ordering	4.NF.A	(4.NF.A) Fraction equivalence and ordering	Extend Understanding Of Fraction Equivalence And Ordering.	4.NF.A.1	"Explain why a fraction a/b is equivalent to a fraction (n ÌÑ a)/(n ÌÑ b) by using visual fraction models, with attention to how the number and size of the parts differ even though the two fractions themselves are the same size. Use this principle to recognize and generate equivalent fractions."	
Math	4	Number &amp; Operations‰ÛÓFractions	NF	(NF) Number &amp; Operations‰ÛÓFractions	Fraction equivalence and ordering	4.NF.A	(4.NF.A) Fraction equivalence and ordering	Extend Understanding Of Fraction Equivalence And Ordering.	4.NF.A.2	"Compare two fractions with different numerators and different denominators, e.g., by creating common denominators or numerators, or by comparing to a benchmark fraction such as 1/2. Recognize that comparisons are valid only when the two fractions refer to the same whole. Record the results of comparisons with symbols >, =, or <, and justify the conclusions, e.g., by using a visual fraction model."	
Math	4	Number &amp; Operations‰ÛÓFractions	NF	(NF) Number &amp; Operations‰ÛÓFractions	Unit fractions	4.NF.B	(4.NF.B) Unit fractions	Build Fractions From Unit Fractions By Applying And Extending Previous Understandings Of Operations On Whole Numbers.	4.NF.B.3	Understand a fraction a/b with a > 1 as a sum of fractions 1/b. a.	
Math	4	Number &amp; Operations‰ÛÓFractions	NF	(NF) Number &amp; Operations‰ÛÓFractions	Unit fractions	4.NF.B	(4.NF.B) Unit fractions	Build Fractions From Unit Fractions By Applying And Extending Previous Understandings Of Operations On Whole Numbers.	4.NF.B.3.a	Understand addition and subtraction of fractions as joining and separating parts referring to the same whole.	
Math	4	Number &amp; Operations‰ÛÓFractions	NF	(NF) Number &amp; Operations‰ÛÓFractions	Unit fractions	4.NF.B	(4.NF.B) Unit fractions	Build Fractions From Unit Fractions By Applying And Extending Previous Understandings Of Operations On Whole Numbers.	4.NF.B.3.b	"Decompose a fraction into a sum of fractions with the same denominator in more than one way, recording each decomposition by an equation. Justify decompositions, e.g., by using a visual fraction model. Examples: 3/8 = 1/8 + 1/8 + 1/8 ; 3/8 = 1/8 + 2/8 ; 2 1/8 = 1 + 1 + 1/8 = 8/8 + 8/8 + 1/8."	
Math	4	Number &amp; Operations‰ÛÓFractions	NF	(NF) Number &amp; Operations‰ÛÓFractions	Unit fractions	4.NF.B	(4.NF.B) Unit fractions	Build Fractions From Unit Fractions By Applying And Extending Previous Understandings Of Operations On Whole Numbers.	4.NF.B.3.c	"Add and subtract mixed numbers with like denominators, e.g., by replacing each mixed number with an equivalent fraction, and/or by using properties of operations and the relationship between addition and subtraction."	
Math	4	Number &amp; Operations‰ÛÓFractions	NF	(NF) Number &amp; Operations‰ÛÓFractions	Unit fractions	4.NF.B	(4.NF.B) Unit fractions	Build Fractions From Unit Fractions By Applying And Extending Previous Understandings Of Operations On Whole Numbers.	4.NF.B.3.d	"Solve word problems involving addition and subtraction of fractions referring to the same whole and having like denominators, e.g., by using visual fraction models and equations to represent the problem."	
Math	4	Number &amp; Operations‰ÛÓFractions	NF	(NF) Number &amp; Operations‰ÛÓFractions	Unit fractions	4.NF.B	(4.NF.B) Unit fractions	Build Fractions From Unit Fractions By Applying And Extending Previous Understandings Of Operations On Whole Numbers.	4.NF.B.4	Apply and extend previous understandings of multiplication to multiply a fraction by a whole number.	
Math	4	Number &amp; Operations‰ÛÓFractions	NF	(NF) Number &amp; Operations‰ÛÓFractions	Unit fractions	4.NF.B	(4.NF.B) Unit fractions	Build Fractions From Unit Fractions By Applying And Extending Previous Understandings Of Operations On Whole Numbers.	4.NF.B.4.a	"Understand a fraction a/b as a multiple of 1/b. For example, use a visual fraction model to represent 5/4 as the product 5 ÌÑ (1/4), recording the conclusion by the equation 5/4 = 5 ÌÑ (1/4)."	
Math	4	Number &amp; Operations‰ÛÓFractions	NF	(NF) Number &amp; Operations‰ÛÓFractions	Unit fractions	4.NF.B	(4.NF.B) Unit fractions	Build Fractions From Unit Fractions By Applying And Extending Previous Understandings Of Operations On Whole Numbers.	4.NF.B.4.b	"Understand a multiple of a/b as a multiple of 1/b, and use this understanding to multiply a fraction by a whole number. For example, use a visual fraction model to express 3 ÌÑ (2/5) as 6 ÌÑ (1/5), recognizing this product as 6/5. (In general, n ÌÑ (a/b) = (n ÌÑ a)/b.)"	
Math	4	Number &amp; Operations‰ÛÓFractions	NF	(NF) Number &amp; Operations‰ÛÓFractions	Unit fractions	4.NF.B	(4.NF.B) Unit fractions	Build Fractions From Unit Fractions By Applying And Extending Previous Understandings Of Operations On Whole Numbers.	4.NF.B.4.c	"Solve word problems involving multiplication of a fraction by a whole number, e.g., by using visual fraction models and equations to represent the problem. For example, if each person at a party will eat 3/8 of a pound of roast beef, and there will be 5 people at the party, how many pounds of roast beef will be needed? Between what two whole numbers does your answer lie?"	
Math	4	Number &amp; Operations‰ÛÓFractions	NF	(NF) Number &amp; Operations‰ÛÓFractions	Decimal notation for fractions	4.NF.C	(4.NF.C) Decimal notation for fractions	"Understand Decimal Notation For Fractions, And Compare Decimal Fractions."	4.NF.C.5	"Express a fraction with denominator 10 as an equivalent fraction with denominator 100, and use this technique to add two fractions with respective denominators 10 and 100.4 For example, express 3/10 as 30/100, and add 3/10 + 4/100 = 34/100."	
Math	4	Number &amp; Operations‰ÛÓFractions	NF	(NF) Number &amp; Operations‰ÛÓFractions	Decimal notation for fractions	4.NF.C	(4.NF.C) Decimal notation for fractions	"Understand Decimal Notation For Fractions, And Compare Decimal Fractions."	4.NF.C.6	"Use decimal notation for fractions with denominators 10 or 100. For example, rewrite 0.62 as 62/100; describe a length as 0.62 meters; locate 0.62 on a number line diagram."	
Math	4	Number &amp; Operations‰ÛÓFractions	NF	(NF) Number &amp; Operations‰ÛÓFractions	Decimal notation for fractions	4.NF.C	(4.NF.C) Decimal notation for fractions	"Understand Decimal Notation For Fractions, And Compare Decimal Fractions."	4.NF.C.7	"Compare two decimals to hundredths by reasoning about their size. Recognize that comparisons are valid only when the two decimals refer to the same whole. Record the results of comparisons with the symbols >, =, or <, and justify the conclusions, e.g., by using a visual model."	
Math	4	Operations &amp; Algebraic Thinking	OA	(OA) Operations &amp; Algebraic Thinking	Using the four operations to solve problems	4.OA.A	(4.OA.A) Using the four operations to solve problems	Use The Four Operations With Whole Numbers To Solve Problems.	4.OA.A.1	"Interpret a multiplication equation as a comparison, e.g., interpret 35 = 5 ÌÑ 7 as a statement that 35 is 5 times as many as 7 and 7 times as many as 5. Represent verbal statements of multiplicative comparisons as multiplication equations."	
Math	4	Operations &amp; Algebraic Thinking	OA	(OA) Operations &amp; Algebraic Thinking	Using the four operations to solve problems	4.OA.A	(4.OA.A) Using the four operations to solve problems	Use The Four Operations With Whole Numbers To Solve Problems.	4.OA.A.2	"Multiply or divide to solve word problems involving multiplicative comparison, e.g., by using drawings and equations with a symbol for the unknown number to represent the problem, distinguishing multiplicative comparison from additive comparison.1"	
Math	4	Operations &amp; Algebraic Thinking	OA	(OA) Operations &amp; Algebraic Thinking	Using the four operations to solve problems	4.OA.A	(4.OA.A) Using the four operations to solve problems	Use The Four Operations With Whole Numbers To Solve Problems.	4.OA.A.3	"Solve multistep word problems posed with whole numbers and having whole-number answers using the four operations, including problems in which remainders must be interpreted. Represent these problems using equations with a letter standing for the unknown quantity. Assess the reasonableness of answers using mental computation and estimation strategies including rounding."	
Math	4	Operations &amp; Algebraic Thinking	OA	(OA) Operations &amp; Algebraic Thinking	Factors and multiples	4.OA.B	(4.OA.B) Factors and multiples	Gain Familiarity With Factors And Multiples.	4.OA.B.4	Find all factor pairs for a whole number in the range 1‰ÛÒ100. Recognize that a whole number is a multiple of each of its factors. Determine whether a given whole number in the range 1‰ÛÒ100 is a multiple of a given one-digit number. Determine whether a given whole number in the range 1‰ÛÒ100 is prime or composite.	
Math	4	Operations &amp; Algebraic Thinking	OA	(OA) Operations &amp; Algebraic Thinking	Number and shape patterns	4.OA.C	(4.OA.C) Number and shape patterns	Generate And Analyze Patterns.	4.OA.C.5	"Generate a number or shape pattern that follows a given rule. Identify apparent features of the pattern that were not explicit in the rule itself. For example, given the rule ‰ÛÏAdd 3‰Û and the starting number 1, generate terms in the resulting sequence and observe that the terms appear to alternate between odd and even numbers. Explain informally why the numbers will continue to alternate in this way."	
Math	5	Geometry	G	(G) Geometry	Graphing points on the coordinate plane	5.G.A	(5.G.A) Graphing points on the coordinate plane	Graph Points On The Coordinate Plane To Solve Real-World And Mathematical Problems.	5.G.A.1	"Use a pair of perpendicular number lines, called axes, to define a coordinate system, with the intersection of the lines (the origin) arranged to coincide with the 0 on each line and a given point in the plane located by using an ordered pair of numbers, called its coordinates. Understand that the first number indicates how far to travel from the origin in the direction of one axis, and the second number indicates how far to travel in the direction of the second axis, with the convention that the names of the two axes and the coordinates correspond (e.g., x-axis and x-coordinate, y-axis and y-coordinate)."	
Math	5	Geometry	G	(G) Geometry	Graphing points on the coordinate plane	5.G.A	(5.G.A) Graphing points on the coordinate plane	Graph Points On The Coordinate Plane To Solve Real-World And Mathematical Problems.	5.G.A.2	"Represent real world and mathematical problems by graphing points in the first quadrant of the coordinate plane, and interpret coordinate values of points in the context of the situation."	
Math	5	Geometry	G	(G) Geometry	Classifying two-dimensional figures	5.G.B	(5.G.B) Classifying two-dimensional figures	Classify Two-Dimensional Figures Into Categories Based On Their Properties.	5.G.B.3	"Understand that attributes belonging to a category of two- dimensional figures also belong to all subcategories of that category. For example, all rectangles have four right angles and squares are rectangles, so all squares have four right angles."	
Math	5	Geometry	G	(G) Geometry	Classifying two-dimensional figures	5.G.B	(5.G.B) Classifying two-dimensional figures	Classify Two-Dimensional Figures Into Categories Based On Their Properties.	5.G.B.4	Classify two-dimensional figures in a hierarchy based on properties.	
Math	5	Measurement &amp; Data	MD	(MD) Measurement &amp; Data	Unit conversion	5.MD.A	(5.MD.A) Unit conversion	Convert Like Measurement Units Within A Given Measurement System.	5.MD.A.1	"Convert among different-sized standard measurement units within a given measurement system (e.g., convert 5 cm to 0.05 m), and use these conversions in solving multi-step, real world problems."	
Math	5	Measurement &amp; Data	MD	(MD) Measurement &amp; Data	Working with data	5.MD.B	(5.MD.B) Working with data	Represent And Interpret Data.	5.MD.B.2	"Make a line plot to display a data set of measurements in fractions of a unit (1/2, 1/4, 1/8). Use operations on fractions for this grade to solve problems involving information presented in line plots. For example, given different measurements of liquid in identical beakers, find the amount of liquid each beaker would contain if the total amount in all the beakers were redistributed equally."	
Math	5	Measurement &amp; Data	MD	(MD) Measurement &amp; Data	Volume	5.MD.C	(5.MD.C) Volume	Geometric Measurement: Understand Concepts Of Volume And Relate Volume To Multiplication And To Addition.	5.MD.C.3	Recognize volume as an attribute of solid figures and understand concepts of volume measurement.	
Math	5	Measurement &amp; Data	MD	(MD) Measurement &amp; Data	Volume	5.MD.C	(5.MD.C) Volume	Geometric Measurement: Understand Concepts Of Volume And Relate Volume To Multiplication And To Addition.	5.MD.C.3.a	"A cube with side length 1 unit, called a ‰ÛÏunit cube,‰Û is said to have ‰ÛÏone cubic unit‰Û of volume, and can be used to measure volume."	
Math	5	Measurement &amp; Data	MD	(MD) Measurement &amp; Data	Volume	5.MD.C	(5.MD.C) Volume	Geometric Measurement: Understand Concepts Of Volume And Relate Volume To Multiplication And To Addition.	5.MD.C.3.b	A solid figure which can be packed without gaps or overlaps using n unit cubes is said to have a volume of n cubic units.	
Math	5	Measurement &amp; Data	MD	(MD) Measurement &amp; Data	Volume	5.MD.C	(5.MD.C) Volume	Geometric Measurement: Understand Concepts Of Volume And Relate Volume To Multiplication And To Addition.	5.MD.C.4	"Measure volumes by counting unit cubes, using cubic cm, cubic in, cubic ft, and improvised units."	
Math	5	Measurement &amp; Data	MD	(MD) Measurement &amp; Data	Volume	5.MD.C	(5.MD.C) Volume	Geometric Measurement: Understand Concepts Of Volume And Relate Volume To Multiplication And To Addition.	5.MD.C.5	Relate volume to the operations of multiplication and addition and solve real world and mathematical problems involving volume.	
Math	5	Measurement &amp; Data	MD	(MD) Measurement &amp; Data	Volume	5.MD.C	(5.MD.C) Volume	Geometric Measurement: Understand Concepts Of Volume And Relate Volume To Multiplication And To Addition.	5.MD.C.5.a	"Find the volume of a right rectangular prism with whole-number side lengths by packing it with unit cubes, and show that the volume is the same as would be found by multiplying the edge lengths, equivalently by multiplying the height by the area of the base. Represent threefold whole-number products as volumes, e.g., to represent the associative property of multiplication."	
Math	5	Measurement &amp; Data	MD	(MD) Measurement &amp; Data	Volume	5.MD.C	(5.MD.C) Volume	Geometric Measurement: Understand Concepts Of Volume And Relate Volume To Multiplication And To Addition.	5.MD.C.5.b	Apply the formulas V=lÌÑwÌÑh and V=bÌÑh for rectangular prisms to find volumes of right rectangular prisms with whole- number edge lengths in the context of solving real world and mathematical problems.	
Math	5	Measurement &amp; Data	MD	(MD) Measurement &amp; Data	Volume	5.MD.C	(5.MD.C) Volume	Geometric Measurement: Understand Concepts Of Volume And Relate Volume To Multiplication And To Addition.	5.MD.C.5.c	"Recognize volume as additive. Find volumes of solid figures composed of two non-overlapping right rectangular prisms by adding the volumes of the non-overlapping parts, applying this technique to solve real world problems."	
Math	5	Number &amp; Operations in Base Ten	NBT	(NBT) Number &amp; Operations in Base Ten	Place value system	5.NBT.A	(5.NBT.A) Place value system	Understand The Place Value System.	5.NBT.A.1	"Recognize that in a multi-digit number, a digit in one place represents 10 times as much as it represents in the place to its right and 1/10 of what it represents in the place to its left."	
Math	5	Number &amp; Operations in Base Ten	NBT	(NBT) Number &amp; Operations in Base Ten	Place value system	5.NBT.A	(5.NBT.A) Place value system	Understand The Place Value System.	5.NBT.A.2	"Explain patterns in the number of zeros of the product when multiplying a number by powers of 10, and explain patterns in the placement of the decimal point when a decimal is multiplied or divided by a power of 10. Use whole-number exponents to denote powers of 10."	
Math	5	Number &amp; Operations in Base Ten	NBT	(NBT) Number &amp; Operations in Base Ten	Place value system	5.NBT.A	(5.NBT.A) Place value system	Understand The Place Value System.	5.NBT.A.3	"Read, write, and compare decimals to thousandths."	
Math	5	Number &amp; Operations in Base Ten	NBT	(NBT) Number &amp; Operations in Base Ten	Place value system	5.NBT.A	(5.NBT.A) Place value system	Understand The Place Value System.	5.NBT.A.3.a	"Read and write decimals to thousandths using base-ten numerals, number names, and expanded form, e.g., 347.392 = 3 ÌÑ 100 + 4 ÌÑ 10 + 7 ÌÑ 1 + 3 ÌÑ (1/10) + 9 ÌÑ (1/100) + 2 ÌÑ (1/1000)."	
Math	5	Number &amp; Operations in Base Ten	NBT	(NBT) Number &amp; Operations in Base Ten	Place value system	5.NBT.A	(5.NBT.A) Place value system	Understand The Place Value System.	5.NBT.A.3.b	"Compare two decimals to thousandths based on meanings of the digits in each place, using >, =, and < symbols to record the results of comparisons."	
Math	5	Number &amp; Operations in Base Ten	NBT	(NBT) Number &amp; Operations in Base Ten	Place value system	5.NBT.A	(5.NBT.A) Place value system	Understand The Place Value System.	5.NBT.A.4	Use place value understanding to round decimals to any place.	
Math	5	Number &amp; Operations in Base Ten	NBT	(NBT) Number &amp; Operations in Base Ten	Operations with decimals up to hundredths	5.NBT.B	(5.NBT.B) Operations with decimals up to hundredths	Perform Operations With Multi-Digit Whole Numbers And With Decimals To Hundredths.	5.NBT.B.5	Fluently multiply multi-digit whole numbers using the standard algorithm.	
Math	5	Number &amp; Operations in Base Ten	NBT	(NBT) Number &amp; Operations in Base Ten	Operations with decimals up to hundredths	5.NBT.B	(5.NBT.B) Operations with decimals up to hundredths	Perform Operations With Multi-Digit Whole Numbers And With Decimals To Hundredths.	5.NBT.B.6	"Find whole-number quotients of whole numbers with up to four-digit dividends and two-digit divisors, using strategies based on place value, the properties of operations, and/or the relationship between multiplication and division. Illustrate and explain the calculation by using equations, rectangular arrays, and/or area models."	
Math	5	Number &amp; Operations in Base Ten	NBT	(NBT) Number &amp; Operations in Base Ten	Operations with decimals up to hundredths	5.NBT.B	(5.NBT.B) Operations with decimals up to hundredths	Perform Operations With Multi-Digit Whole Numbers And With Decimals To Hundredths.	5.NBT.B.7	"Add, subtract, multiply, and divide decimals to hundredths, using concrete models or drawings and strategies based on place value, properties of operations, and/or the relationship between addition and subtraction; relate the strategy to a written method and explain the reasoning used."	
Math	5	Number &amp; Operations‰ÛÓFractions	NF	(NF) Number &amp; Operations‰ÛÓFractions	Adding and subtracting with equivalent fractions	5.NF.A	(5.NF.A) Adding and subtracting with equivalent fractions	Use Equivalent Fractions As A Strategy To Add And Subtract Fractions.	5.NF.A.1	"Add and subtract fractions with unlike denominators (including mixed numbers) by replacing given fractions with equivalent fractions in such a way as to produce an equivalent sum or difference of fractions with like denominators. For example, 2/3 + 5/4 = 8/12 + 15/12 = 23/12. (In general, a/b + c/d = (ad + bc)/bd.)"	
Math	5	Number &amp; Operations‰ÛÓFractions	NF	(NF) Number &amp; Operations‰ÛÓFractions	Adding and subtracting with equivalent fractions	5.NF.A	(5.NF.A) Adding and subtracting with equivalent fractions	Use Equivalent Fractions As A Strategy To Add And Subtract Fractions.	5.NF.A.2	"Solve word problems involving addition and subtraction of fractions referring to the same whole, including cases of unlike denominators, e.g., by using visual fraction models or equations to represent the problem. Use benchmark fractions and number sense of fractions"	
Math	5	Number &amp; Operations‰ÛÓFractions	NF	(NF) Number &amp; Operations‰ÛÓFractions	Multiplying and dividing fractions	5.NF.B	(5.NF.B) Multiplying and dividing fractions	Apply And Extend Previous Understandings Of Multiplication And Division To Multiply And Divide Fractions.	5.NF.B.3	"Interpret a fraction as division of the numerator by the denominator (a/b = a Ìá b). Solve word problems involving division of whole numbers leading to answers in the form of fractions or mixed numbers, e.g., by using visual fraction models or equations to represent the problem. For example, interpret 3/4 as the result of dividing 3 by 4, noting that 3/4 multiplied by 4 equals 3, and that when 3 wholes are shared equally among 4 people each person has a share of size 3/4. If 9 people want to share a 50-pound sack of rice equally by weight, how many pounds of rice should each person get? Between what two whole numbers does your answer lie?"	
Math	5	Number &amp; Operations‰ÛÓFractions	NF	(NF) Number &amp; Operations‰ÛÓFractions	Multiplying and dividing fractions	5.NF.B	(5.NF.B) Multiplying and dividing fractions	Apply And Extend Previous Understandings Of Multiplication And Division To Multiply And Divide Fractions.	5.NF.B.4	Apply and extend previous understandings of multiplication to multiply a fraction or whole number by a fraction.	
Math	5	Number &amp; Operations‰ÛÓFractions	NF	(NF) Number &amp; Operations‰ÛÓFractions	Multiplying and dividing fractions	5.NF.B	(5.NF.B) Multiplying and dividing fractions	Apply And Extend Previous Understandings Of Multiplication And Division To Multiply And Divide Fractions.	5.NF.B.4.a	"Interpret the product (a/b) ÌÑ q as a parts of a partition of q into b equal parts; equivalently, as the result of a sequence of operations a ÌÑ q Ìá b. For example, use a visual fraction model to show (2/3) ÌÑ 4 = 8/3, and create a story context for this equation. Do the same with (2/3) ÌÑ (4/5) = 8/15. (In general, (a/b) ÌÑ (c/d) = ac/bd.)"	
Math	5	Number &amp; Operations‰ÛÓFractions	NF	(NF) Number &amp; Operations‰ÛÓFractions	Multiplying and dividing fractions	5.NF.B	(5.NF.B) Multiplying and dividing fractions	Apply And Extend Previous Understandings Of Multiplication And Division To Multiply And Divide Fractions.	5.NF.B.4.b	"Find the area of a rectangle with fractional side lengths by tiling it with unit squares of the appropriate unit fraction side lengths, and show that the area is the same as would be found by multiplying the side lengths. Multiply fractional side lengths to find areas of rectangles, and represent fraction products as rectangular areas."	
Math	5	Number &amp; Operations‰ÛÓFractions	NF	(NF) Number &amp; Operations‰ÛÓFractions	Multiplying and dividing fractions	5.NF.B	(5.NF.B) Multiplying and dividing fractions	Apply And Extend Previous Understandings Of Multiplication And Division To Multiply And Divide Fractions.	5.NF.B.5	"Interpret multiplication as scaling (resizing), by:"	
Math	5	Number &amp; Operations‰ÛÓFractions	NF	(NF) Number &amp; Operations‰ÛÓFractions	Multiplying and dividing fractions	5.NF.B	(5.NF.B) Multiplying and dividing fractions	Apply And Extend Previous Understandings Of Multiplication And Division To Multiply And Divide Fractions.	5.NF.B.5.a	"Comparing the size of a product to the size of one factor on the basis of the size of the other factor, without performing the indicated multiplication."	
Math	5	Number &amp; Operations‰ÛÓFractions	NF	(NF) Number &amp; Operations‰ÛÓFractions	Multiplying and dividing fractions	5.NF.B	(5.NF.B) Multiplying and dividing fractions	Apply And Extend Previous Understandings Of Multiplication And Division To Multiply And Divide Fractions.	5.NF.B.5.b	Explaining why multiplying a given number by a fraction greater than 1 results in a product greater than the given number (recognizing multiplication by whole numbers greater than 1 as a familiar case); explaining why multiplying a given number by a fraction less than 1 results in a product smaller than the given number; and relating the principle of fraction equivalence a/b = (nÌÑa)/(nÌÑb) to the effect of multiplying a/b by 1.	
Math	5	Number &amp; Operations‰ÛÓFractions	NF	(NF) Number &amp; Operations‰ÛÓFractions	Multiplying and dividing fractions	5.NF.B	(5.NF.B) Multiplying and dividing fractions	Apply And Extend Previous Understandings Of Multiplication And Division To Multiply And Divide Fractions.	5.NF.B.6	"Solve real world problems involving multiplication of fractions and mixed numbers, e.g., by using visual fraction models or equations to represent the problem."	
Math	5	Number &amp; Operations‰ÛÓFractions	NF	(NF) Number &amp; Operations‰ÛÓFractions	Multiplying and dividing fractions	5.NF.B	(5.NF.B) Multiplying and dividing fractions	Apply And Extend Previous Understandings Of Multiplication And Division To Multiply And Divide Fractions.	5.NF.B.7	Apply and extend previous understandings of division to divide unit fractions by whole numbers and whole numbers by unit fractions.1	
Math	5	Number &amp; Operations‰ÛÓFractions	NF	(NF) Number &amp; Operations‰ÛÓFractions	Multiplying and dividing fractions	5.NF.B	(5.NF.B) Multiplying and dividing fractions	Apply And Extend Previous Understandings Of Multiplication And Division To Multiply And Divide Fractions.	5.NF.B.7.a	"Interpret division of a unit fraction by a non-zero whole number, and compute such quotients. For example, create a story context for (1/3) Ìá 4, and use a visual fraction model to show the quotient. Use the relationship between multiplication and division to explain that (1/3) Ìá 4 = 1/12 because (1/12) ÌÑ 4 = 1/3."	
Math	5	Number &amp; Operations‰ÛÓFractions	NF	(NF) Number &amp; Operations‰ÛÓFractions	Multiplying and dividing fractions	5.NF.B	(5.NF.B) Multiplying and dividing fractions	Apply And Extend Previous Understandings Of Multiplication And Division To Multiply And Divide Fractions.	5.NF.B.7.b	"Interpret division of a whole number by a unit fraction, and compute such quotients. For example, create a story context for 4 Ìá (1/5), and use a visual fraction model to show the quotient. Use the relationship between multiplication and division to explain that 4 Ìá (1/5) = 20 because 20 ÌÑ (1/5) = 4."	
Math	5	Number &amp; Operations‰ÛÓFractions	NF	(NF) Number &amp; Operations‰ÛÓFractions	Multiplying and dividing fractions	5.NF.B	(5.NF.B) Multiplying and dividing fractions	Apply And Extend Previous Understandings Of Multiplication And Division To Multiply And Divide Fractions.	5.NF.B.7.c	"Solve real world problems involving division of unit fractions by non-zero whole numbers and division of whole numbers by unit fractions, e.g., by using visual fraction models and equations to represent the problem. For example, how much chocolate will each person get if 3 people share 1/2 lb of chocolate equally? How many 1/3-cup servings are in 2 cups of raisins?"	
Math	5	Operations &amp; Algebraic Thinking	OA	(OA) Operations &amp; Algebraic Thinking	Numerical expressions	5.OA.A	(5.OA.A) Numerical expressions	Write And Interpret Numerical Expressions.	5.OA.A.1	"Use parentheses, brackets, or braces in numerical expressions, and evaluate expressions with these symbols."	
Math	5	Operations &amp; Algebraic Thinking	OA	(OA) Operations &amp; Algebraic Thinking	Numerical expressions	5.OA.A	(5.OA.A) Numerical expressions	Write And Interpret Numerical Expressions.	5.OA.A.2	"Write simple expressions that record calculations with numbers, and interpret numerical expressions without evaluating them. For example, express the calculation ‰ÛÏadd 8 and 7, then multiply by 2‰Û as 2 ÌÑ (8 + 7). Recognize that 3 ÌÑ (18932 + 921) is three times as large as 18932 + 921, without having to calculate the indicated sum or product."	
Math	5	Operations &amp; Algebraic Thinking	OA	(OA) Operations &amp; Algebraic Thinking	Pattern analysis	5.OA.B	(5.OA.B) Pattern analysis	Analyze Patterns And Relationships.	5.OA.B.3	"Generate two numerical patterns using two given rules. Identify apparent relationships between corresponding terms. Form ordered pairs consisting of corresponding terms from the two patterns, and graph the ordered pairs on a coordinate plane. For example, given the rule ‰ÛÏAdd 3‰Û and the starting number 0, and given the rule ‰ÛÏAdd 6‰Û and the starting number 0, generate terms in the resulting sequences, and observe that the terms in one sequence are twice the corresponding terms in the other sequence. Explain informally why this is so."	
Math	6	Expressions &amp; Equations	EE	(EE) Expressions &amp; Equations	Algebraic expressions	6.EE.A	(6.EE.A) Algebraic expressions	Apply And Extend Previous Understandings Of Arithmetic To Algebraic Expressions.	6.EE.A.1	Write and evaluate numerical expressions involving whole-number exponents.	
Math	6	Expressions &amp; Equations	EE	(EE) Expressions &amp; Equations	Algebraic expressions	6.EE.A	(6.EE.A) Algebraic expressions	Apply And Extend Previous Understandings Of Arithmetic To Algebraic Expressions.	6.EE.A.2	"Write, read, and evaluate expressions in which letters stand for numbers."	
Math	6	Expressions &amp; Equations	EE	(EE) Expressions &amp; Equations	Algebraic expressions	6.EE.A	(6.EE.A) Algebraic expressions	Apply And Extend Previous Understandings Of Arithmetic To Algebraic Expressions.	6.EE.A.2.a	"Write expressions that record operations with numbers and with letters standing for numbers. For example, express the calculation ‰ÛÏSubtract y from 5‰Û as 5 ‰ÛÒ y."	
Math	6	Expressions &amp; Equations	EE	(EE) Expressions &amp; Equations	Algebraic expressions	6.EE.A	(6.EE.A) Algebraic expressions	Apply And Extend Previous Understandings Of Arithmetic To Algebraic Expressions.	6.EE.A.2.b	"Identify parts of an expression using mathematical terms (sum, term, product, factor, quotient, coefficient); view one or more parts of an expression as a single entity. For example, describe the expression 2 (8 + 7) as a product of two factors; view (8 + 7) as both a single entity and a sum of two terms."	
Math	6	Expressions &amp; Equations	EE	(EE) Expressions &amp; Equations	Algebraic expressions	6.EE.A	(6.EE.A) Algebraic expressions	Apply And Extend Previous Understandings Of Arithmetic To Algebraic Expressions.	6.EE.A.2.c	"Evaluate expressions at specific values of their variables. Include expressions that arise from formulas used in real-world problems. Perform arithmetic operations, including those involving whole- number exponents, in the conventional order when there are no parentheses to specify a particular order (Order of Operations). For example, use the formulas V = s3 and A = 6 s2 to find the volume and surface area of a cube with sides of length s = 1/2."	
Math	6	Expressions &amp; Equations	EE	(EE) Expressions &amp; Equations	Algebraic expressions	6.EE.A	(6.EE.A) Algebraic expressions	Apply And Extend Previous Understandings Of Arithmetic To Algebraic Expressions.	6.EE.A.3	Apply the properties of operations to generate equivalent expressions.	
